address,price,dwelling,bathroom,bedroom,carport,size_m2
"905/251 Hay Street, EAST PERTH WA 6004",685000,Apartment,1,3,2,125
"19/7 Bennett Street, EAST PERTH WA 6004",465000,Apartment,1,3,1,125
"34 Joel  Terrace, EAST PERTH WA 6004",449000,Vacant land,2,2,2,125
"Wellington, PERTH WA 6000",400,Apartment,3,2,1,125
"9/112-122 GODERICH STREET, EAST PERTH WA 6004",189000,Apartment,3,2,1,125
"1115/380 Murray Street, PERTH WA 6000",334000,Apartment,1,3,2,125
"15 Palmerston St, NORTHBRIDGE WA 6003",1600000,House,1,2,0,125
"1911/1 Geoffrey Bolton Avenue, PERTH WA 6000",1738000,Apartment,2,1,0,125
"Level 2/72 Kings Park Road, WEST PERTH WA 6005",1600000,Unknown,2,3,1,125
"16/82 Royal Street, EAST PERTH WA 6004",300,Apartment,1,1,4,125
"Unit 82 33 Newcastle Street, PERTH WA 6000",595000,Apartment,1,3,2,125
"2/46 Joel Terrace, EAST PERTH WA 6004",479000,House,2,2,0,125
"5/17 Gladstone Street, PERTH WA 6000",549,Apartment,3,2,2,125
"18/60-64 Forrest Avenue, EAST PERTH WA 6004",220000,Apartment,2,1,2,125
"16/60-64 Forrest Avenue, EAST PERTH WA 6004",215000,Apartment,1,2,1,125
"11/875 Wellington Street, WEST PERTH WA 6005",100000,Apartment,1,1,1,125
"7/132 Mounts Bay Road, PERTH WA 6000",240000,Apartment,2,2,1,125
"31 9 Tully Road, EAST PERTH WA 6004",455000,Apartment,1,2,1,125
"4/2 Bellevue Terrace, WEST PERTH WA 6005",8,Apartment,1,2,3,125
"106/875 Wellington Street, WEST PERTH WA 6005",187500,Apartment,2,3,1,125
"15/11 Regal Place, EAST PERTH WA 6004",200000,Apartment,2,1,2,125
"1307/11 Barrack Square, Perth WA 6000, PERTH WA 6000",1536000,Apartment,1,2,0,125
"2505/380 Murray Street, PERTH WA 6000",1040000,Apartment,2,2,1,125
"1511/380 Murray Street, PERTH WA 6000",576000,Apartment,1,2,1,125
"2/18-22 Plain Street, EAST PERTH WA 6004",295,Unknown,2,3,1,125
"708/380 Murray Street, PERTH WA 6000",411000,Apartment,2,2,1,125
"45/131 Harold Street, HIGHGATE WA 6003",300,Apartment,2,2,2,125
"41/17 Wickham, EAST PERTH WA 6004",1880000,Off the Plan,2,2,1,125
"17/161 Charles Street, WEST PERTH WA 6005",290000,House,2,3,1,125
"19/8 Prowse Street, WEST PERTH WA 6005",585000,Apartment,1,2,1,125
"4/32 Outram Street, WEST PERTH WA 6005",440000,Apartment,1,1,1,125
"17/1178 Hay Street, WEST PERTH WA 6005",550000,Apartment,2,3,1,125
"35/11 Bennett Street, EAST PERTH WA 6004",200,Apartment,2,1,2,125
"380 Murray Street, PERTH WA 6000",334000,Off the Plan,1,1,1,125
"2205/Elizabeth Quay The Esplanade, PERTH WA 6000",1414000,Apartment,2,3,2,125
"2701/Elizabeth Quay The Esplanade, PERTH WA 6000",1758000,Apartment,1,1,1,125
"2504/Elizabeth Quay The Esplanade, PERTH WA 6000",1693000,Apartment,1,2,1,125
"2703/Elizabeth Quay The Esplanade, PERTH WA 6000",834000,Apartment,2,2,1,125
"2208/Ritz Carlton Tower Elizabeth Quay, PERTH WA 6000",2541000,Apartment,1,3,2,125
"Unit 4/189 Adelaide Terrace, EAST PERTH WA 6004",299000,Apartment,1,1,1,125
"38/101 Murray/Street, PERTH WA 6000",459000,Apartment,2,2,0,125
"6/40 Cowle Street, WEST PERTH WA 6005",579000,Apartment,2,2,1,125
"1108/8 Adelaide Terrace, EAST PERTH WA 6004",690000,Apartment,2,3,0,125
"7/258-264 Newcastle Street, NORTHBRIDGE WA 6003",449000,Apartment,2,2,2,125
"15/34 Cowle Street, WEST PERTH WA 6005",595,Apartment,8,2,0,125
"48/46 Smith Street, HIGHGATE WA 6003",330000,Apartment,3,3,1,125
"112/122 Brown Street, EAST PERTH WA 6004",390000,Apartment,1,2,1,125
"209 Vincent Street, WEST PERTH WA 6005",800000,Townhouse,1,1,2,125
"13/875 Wellington Street, WEST PERTH WA 6005",100000,Apartment,2,1,1,125
"237 Hay st, EAST PERTH WA 6004",29,House,1,2,1,125
"17/33 Mounts Bay Road, PERTH WA 6000",169000,Apartment,1,2,8,125
"82/33 Mounts Bay Road, PERTH WA 6000",169000,Apartment,2,2,3,125
"137/33 Mounts Bay Road, PERTH WA 6000",330000,Apartment,2,2,1,125
"100 Outram Street, WEST PERTH WA 6005",250,Unknown,2,2,2,125
"4/32 Fielder Street, EAST PERTH WA 6004",425000,Apartment,2,2,0,125
"20/448 Murray  Street, PERTH WA 6000",329000,Apartment,2,2,1,125
"35/17 Wickham, EAST PERTH WA 6004",598000,Off the Plan,2,2,1,125
"14/17 Wickham Street, EAST PERTH WA 6004",488000,Off the Plan,2,2,1,125
"35/138 Mounts Bay Road, PERTH WA 6000",680000,Apartment,2,2,1,125
"24/996 Hay Street, PERTH WA 6000",379000,Apartment,2,2,1,125
"73/418 Murray Street, PERTH WA 6000",419000,Apartment,2,2,1,125
"2105/1 Geoffrey Bolton Avenue, Perth WA 6000, PERTH WA 6000",1571000,Apartment,2,2,1,125
"1311/11 Barrack Square, Perth WA 6000, PERTH WA 6000",1248000,Apartment,2,2,1,125
"410/126 Mounts Bay Road, PERTH WA 6000",280000,Apartment,2,2,1,125
"1507/11 Barrack Square, Perth WA 6000, PERTH WA 6000",904000,Apartment,2,2,1,125
"603/112 Mounts Bay Road, PERTH WA 6000",300,Apartment,2,2,1,125
